Bureau of Justice Statistics,,,
Filename: fjs1516f03.csv,,,
"Figure 3. Federal and state arrests by the Drug Enforcement Administration, by marijuana, methamphetamine, 
and other non-opioids, FY 1995–2016",,,
"Report title: Federal Justice Statistics, 2015 -2016   NCJ 251770",,,
"Data source:  Bureau of Justice Statistics, based on data from the Drug Enforcement Administration, Defendant Statistical System, fiscal years 1995–2016.",,,
"Author: Mark Motivans, Ph.D.,  BJS Statistician",,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,
Date of version: 01/17/19,,,
,,,
"Figure 3. Federal and state arrests by the Drug Enforcement Administration, by marijuana, methamphetamine, 
and other non-opioids, FY 1995–2016",,,
,,,
Fiscal year,Marijuana,Methamphetamine,Other or non-drug*
1995,6333,3085,1223
1996,6857,4195,1649
1997,7717,6148,1969
1998,8089,8105,2163
1999,8734,9028,2789
2000,8972,8764,3968
2001,7375,8147,4334
2002,5870,6879,3955
2003,6015,6268,3017
2004,6302,6276,2527
2005,6113,6646,2222
2006,6002,5925,2267
2007,6884,5641,2084
2008,6289,4792,2010
2009,7532,4948,2408
2010,8215,5527,2293
2011,7723,5547,2765
2012,6787,6000,2869
2013,5862,6858,2945
2014,5082,7005,3197
2015,4741,8023,2932
2016,4213,8068,2787
,,,
Note: The unit of count is an arrest by the Drug Enforcement Agency (DEA). Each arrest for an individual is counted separately. Includes state and federal arrests made by the DEA. ,,,
"*Includes non-opioid pharmaceutical controlled substances, other depressants, sedatives, ephedrine, pseudoephedrine, hallucinogens, synthetic cannabinoids, other steroids, equipment to manufacture controlled substances, and drug-use paraphernalia.",,,
"Source: Bureau of Justice Statistics, based on data from the Drug Enforcement Administration, Defendant Statistical System, fiscal years 1995–2016.",,,
