Bureau of Justice Statistics,,,,,,,,,,,
Filename: fjs1516t01.csv,,,,,,,,,,,
"Table 1. Offenders in federal confinement or under federal supervision in the community, FY 2006, FY 2015, and FY 2016",,,,,,,,,,,
"Report title: Federal Justice Statistics, 2015 -2016   NCJ 251770",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Probation and Pretrial Services, Probation and Pretrial Services Automated Case Tracking System; U.S. Marshals Service, Justice Detainee Information System; and Federal Bureau of Prisons, SENTRY database, fiscal year-end 2006, 2015, and 2016.",,,,,,,,,,,
"Author: Mark Motivans, Ph.D.,  BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 01/17/19,,,,,,,,,,,
,,,,,,,,,,,
"Table 1. Offenders in federal confinement or under federal supervision in the community, FY 2006, FY 2015, and FY 2016",,,,,,,,,,,
,,,FY 2006,,,FY 2015,,,FY 2016,,
,,,Number,Percent,,Number,Percent,,Number,Percent,
,Total,,"365,496",100,%,"392,212",100,%,"379,908",100,%
Secure confinement,,,"224,661",61.5,%,"236,512",60.3,%,"222,964",58.7,%
,Pre-trial detention,,"56,236",15.4,,"53,449",13.6,,"52,586",13.8,
,Federal Bureau of Prisons (post-sentencing)*,,"168,425",46.1,,"183,063",46.7,,"170,378",44.8,
Community,,,"140,835",38.5,%,"155,700",39.7,%,"156,944",41.3,%
,Pre-trial release supervision,,"28,218",7.7,,"22,778",5.8,,"22,035",5.8,
,Post-sentencing supervision,,"112,617",30.8,,"132,922",33.9,,"134,909",35.5,
,,Supervised release,"85,317",23.3,,"112,567",28.7,,"115,843",30.5,
,,Probation,"24,879",6.8,,"19,126",4.9,,"17,938",4.7,
,,Parole,"2,421",0.7,,"1,229",0.3,,"1,128",0.3,
"Note: Federal offender populations are shown as of September 30, 2006, 2015, and 2016. Details may not sum to totals due to rounding.",,,,,,,,,,,
"*Federally sentenced prisoners in the custody of the Federal Bureau of Prisons (BOP). Counts exclude persons in federal prison for District of Columbia code offenses, military code offenses, treaty transfer cases, and as state boarders. Unsentenced federal offenders in the BOP are counted in pre-trial detention counts.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Probation and Pretrial Services, Probation and Pretrial Services Automated Case Tracking System; U.S. Marshals Service, Justice Detainee Information System; and Federal Bureau of Prisons, SENTRY database, fiscal year-end 2006, 2015, and 2016.",,,,,,,,,,,
