Bureau of Justice Statistics,,,,,,,,,,,
Filename: fjs1516t05.csv,,,,,,,,,,,
"Table 5. Demographic characteristics of defendants charged in U.S. federal district court, by sex of defendant, FY 2016",,,,,,,,,,,
"Report title: Federal Justice Statistics, 2015 -2016   NCJ 251770",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Probation and Pretrial Services, Probation and Pretrial Services Automated Case Tracking System, fiscal year 2016.",,,,,,,,,,,
"Author: Mark Motivans, Ph.D.,  BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 01/17/19,,,,,,,,,,,
,,,,,,,,,,,
"Table 5. Demographic characteristics of defendants charged in U.S. federal district court, by sex of defendant, FY 2016",,,,,,,,,,,
,,,All defendants,,,Male,,,Female,,
Defendant characteristic,,,Number,Percent,,Number,Percent,,Number,Percent,
,Total,,"63,593",100,%,"54,546",100,%,"8,843",100,%
Race/Hispanic origin/a,,,,,,,,,,,
,White,,"12,493",20.9,%,"9,844",19.2,%,"2,645",32,%
,Black/African American,,"11,844",19.8,,"10,228",19.9,,"1,608",19.4,
,Hispanic/Latino,,"33,248",56,,"29,675",57.8,,"3,558",43,
,American Indian/Alaska Native,,"1,329",2,,"1,026",2,,303,3.7,
,Asian/Native Hawaiian/Other Pacific Islander ,,774,1,,610,1.2,,163,2,
Age,,,,,,,,,,,
,17 or younger,,34,0,%,32,0.1,%,2,--,
,18–19,,707,1.1,,604,1.1,,103,1.2,%
,20–24,,"7,546",12,,"6,392",11.7,,"1,151",13,
,25–29,,"10,951",17.2,,"9,455",17.3,,"1,491",16.9,
,30–34,,"11,517",18.1,,"10,094",18.5,,"1,419",16,
,35–39,,"10,495",16.5,,"9,179",16.8,,"1,305",14.8,
,40–44,,"7,763",12.2,,"6,712",12.3,,"1,039",11.8,
,45–49,,"5,592",8.8,,"4,748",8.7,,840,9.5,
,50–54,,"3,751",5.9,,"3,159",5.8,,586,6.6,
,55–59,,"2,408",3.8,,"1,997",3.7,,408,4.6,
,60–64,,"1,392",2.2,,"1,123",2.1,,268,3,
,65 or older,,"1,274",2,,"1,044",1.9,,230,2.6,
,Median,,35 yrs.,,,35 yrs.,,,35 yrs.,,
Citizenship,,,,,,,,,,,
,U.S. citizen,,"37,086",59.1,%,"30,064",55.7,%,"6,993",80.4,%
,Legal alien,,"3,180",5.1,,"2,690",5,,489,5.6,
,Illegal alien,,"22,479",35.8,,"21,246",39.3,,"1,217",14,
Country/region of citizenship,,,,,,,,,,,
,North America,,"60,763",97.1,%,"52,210",97,%,"8,507",97.7,%
,,United States,"37,086",59.3,,"30,064",55.9,,"6,993",80.3,
,,Mexico,"18,917",30.2,,"17,721",32.9,,"1,180",13.6,
,,Canada,104,0.2,,81,0.2,,23,0.3,
,,Caribbean Islands/b,"1,349",2.2,,"1,226",2.3,,123,1.4,
,,Central America/b,"3,307",5.3,,"3,118",5.8,,188,2.2,
,South America/b,,975,1.6,,877,1.6,,98,1.1,
,Asia and Oceania/b,,350,0.6,,308,0.6,,42,0.5,
,Europe/b,,296,0.5,,252,0.5,,44,0.5,
,Africa/b,,188,0.3,,171,0.3,,17,0.2,
"Note: The unit of count is a defendant in a case filed in U.S. district court. Defendants in more than one case filing are counted separately. Includes defendants charged in U.S. district court with a felony or Class A or B misdemeanor offense as the most serious charge. Data were missing for the following: sex (204), race/Hispanic origin (3,905), age (163), citizenship (848), and country/region of citizenship (1,021). Details may not sum to totals due to rounding.",,,,,,,,,,,
--Less than 0.05%.,,,,,,,,,,,
"a/Excludes persons of Hispanic/Latino origin, unless specified. Race/Hispanic origin are self-reported by the defendant during the pre-trial interview. Information collected for one race and one Hispanic origin category.",,,,,,,,,,,
b/Countries aggregated by region.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Probation and Pretrial Services, Probation and Pretrial Services Automated Case Tracking System, fiscal year 2016.",,,,,,,,,,,
