Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: fjs1516t09.csv,,,,,,,,,,,,,,
"Table 9. Demographic characteristics of offenders under post-sentencing federal supervision, FY 2016",,,,,,,,,,,,,,
"Report title: Federal Justice Statistics, 2015 -2016   NCJ 251770",,,,,,,,,,,,,,
"Data source:  Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Probation and Pretrial Services, Probation and Pretrial Services Automated Case Tracking System, fiscal year-end 2016.",,,,,,,,,,,,,,
"Author: Mark Motivans, Ph.D.,  BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,
Date of version: 01/17/19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 9. Demographic characteristics of offenders under post-sentencing federal supervision, FY 2016",,,,,,,,,,,,,,
,,,Total,,,Probation,,,Supervised release,,,Parole,,
Offender demographic characteristic,,,Number,Percent,,Number,Percent,,Number,Percent,,Number,Percent,
,Total,,"134,909",100,%,17938,100,%,115843,100,%,1128,100,%
Sex,,,,,,,,,,,,,,
,Male,,"111,347",82.7,%,11102,62.8,%,99140,85.6,%,1105,98.0,%
,Female,,"23,304",17.3,,6580,37.2,,16701,14.4,,23,2.0,
Race/Hispanic origin/a,,,,,,,,,,,,,,
,White,,"46,198",35.1,%,7794,45.8,%,38058,33.5,%,346,32.5,%
,Black/African American,,"47,168",35.8,,4611,27.1,,41986,36.9,,571,53.6,
,Hispanic/Latino,,"32,223",24.4,,3383,19.9,,28719,25.3,,121,11.4,
,American Indian/Alaska Native,,"2,846",2.2,,444,2.6,,2382,2.1,,20,1.9,
,Asian/Native Hawaiian/Other Pacific Islander,,"3,389",2.6,,777,4.6,,2604,2.3,,8,0.8,
Age,,,,,,,,,,,,,,
,17 or younger,,22,--,,21,0.1,%,1,--,,0,^,
,18–19,,113,0.1,%,90,0.5,,23,--,,0,^,
,20–24,,"3,734",2.8,,1213,6.9,,2514,2.2,%,7,0.6,%
,25–29,,"13,015",9.7,,2224,12.6,,10739,9.3,,52,4.6,
,30–34,,"19,251",14.3,,2279,12.9,,16899,14.6,,73,6.5,
,35–39,,"23,597",17.5,,2222,12.6,,21311,18.4,,64,5.7,
,40–44,,"21,073",15.7,,2005,11.3,,18965,16.4,,103,9.1,
,45–49,,"17,346",12.9,,1927,10.9,,15310,13.2,,109,9.7,
,50–54,,"13,245",9.8,,1776,10.0,,11313,9.8,,156,13.8,
,55–59,,"9,840",7.3,,1467,8.3,,8215,7.1,,158,14.0,
,60–64,,"6,325",4.7,,1065,6.0,,5103,4.4,,157,13.9,
,65 or older,,"7,095",5.3,,1399,7.9,,5448,4.7,,248,22.0,
,Median,,,41,yrs.,,41,yrs.,,41,yrs.,,54,yrs.
Citizenship,,,,,,,,,,,,,,
,U.S. citizen,,"124,662",93.2,%,15620,88.9,%,108015,93.8,%,1027,95.6,%
,Legal alien,,"4,567",3.4,,1008,5.7,,3551,3.1,,8,0.7,
,Illegal alien,,"4,580",3.4,,951,5.4,,3590,3.1,,39,3.6,
Country/region of citizenship,,,,,,,,,,,,,,
,North America,,"132,697",99.0,%,17216,97.7,%,114394,99.2,%,1087,99.5,%
,,United States,"130,089",97.0,,16747,95.0,,112278,97.3,,1064,97.4,
,,Mexico,863,0.6,,202,1.2,,656,0.6,,5,0.5,
,,Canada,43,--,,28,0.2,,15,--,,0,--,
,,Caribbean Islands/b,"1,497",1.1,,162,0.9,,1318,1.1,,17,1.6,
,,Central America/b,205,0.2,,77,0.4,,127,0.1,,1,0.1,
,South America/b,,195,0.2,,58,0.3,,133,0.1,,4,0.4,
,Asia and Oceania/b,,704,0.5,,219,1.2,,483,0.4,,2,0.2,
,Europe/b,,242,0.2,,79,0.5,,163,0.1,,0,--,
,Africa/b,,245,0.2,,57,0.3,,188,0.2,,0,--,
"Note: Details may not sum to totals due to rounding. Includes suspects for whom characteristics were unknown. The unit of count is an individual offender under federal supervision on September 30, 2016. Percentages are based on non-missing data. Citizenship and country/region of citizenship differ due to missing data. Data were missing for the following: age (253), sex (258), race/Hispanic origin (3,085), citizenship (1,100), and country/region of citizenship (826). ",,,,,,,,,,,,,,
--Less than 0.05%.,,,,,,,,,,,,,,
^Estimate based on 10 or fewer cases.,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic/Latino origin, unless specified. Race and Hispanic origin are self-reported by the defendant during the pre-sentence interview. Information collected for one race and one Hispanic origin category.",,,,,,,,,,,,,,
b/Countries aggregated by region.,,,,,,,,,,,,,,
